================ Training Loss (Mon Sep 29 15:38:19 2025) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.598, data: 2.243) , D_A: 0.585, G_A: 0.400, cycle_A: 1.613, idt_A: 1.502, D_B: 0.408, G_B: 0.423, cycle_B: 3.156, idt_B: 0.733
[Rank 0] (epoch: 2, iters: 985, time: 0.646, data: 0.001) , D_A: 0.045, G_A: 0.626, cycle_A: 0.421, idt_A: 0.311, D_B: 0.051, G_B: 1.034, cycle_B: 0.702, idt_B: 0.177

[Rank 0] (epoch: 2, iters: 1085, time: 0.645, data: 0.004) , D_A: 0.155, G_A: 0.343, cycle_A: 0.614, idt_A: 0.577, D_B: 0.451, G_B: 1.592, cycle_B: 1.731, idt_B: 0.180

[Rank 0] (epoch: 2, iters: 1185, time: 0.639, data: 0.002) , D_A: 0.208, G_A: 0.607, cycle_A: 0.543, idt_A: 0.406, D_B: 0.101, G_B: 0.239, cycle_B: 0.801, idt_B: 0.214

[Rank 0] (epoch: 2, iters: 1285, time: 0.868, data: 0.000) , D_A: 0.177, G_A: 0.436, cycle_A: 0.775, idt_A: 2.215, D_B: 0.096, G_B: 0.146, cycle_B: 3.655, idt_B: 0.245

[Rank 0] (epoch: 2, iters: 1385, time: 0.638, data: 0.001) , D_A: 0.121, G_A: 0.055, cycle_A: 0.427, idt_A: 0.322, D_B: 0.200, G_B: 0.255, cycle_B: 0.967, idt_B: 0.180

[Rank 0] (epoch: 2, iters: 1485, time: 0.642, data: 0.002) , D_A: 0.083, G_A: 0.665, cycle_A: 0.962, idt_A: 0.379, D_B: 0.078, G_B: 1.015, cycle_B: 0.968, idt_B: 0.366

[Rank 0] (epoch: 2, iters: 1585, time: 0.645, data: 0.002) , D_A: 0.230, G_A: 0.485, cycle_A: 0.729, idt_A: 0.569, D_B: 0.112, G_B: 0.475, cycle_B: 1.734, idt_B: 0.199

[Rank 0] (epoch: 2, iters: 1685, time: 0.643, data: 0.002) , D_A: 0.150, G_A: 0.454, cycle_A: 0.428, idt_A: 0.658, D_B: 0.086, G_B: 0.158, cycle_B: 1.508, idt_B: 0.282

[Rank 0] (epoch: 2, iters: 1785, time: 0.643, data: 0.002) , D_A: 0.104, G_A: 0.513, cycle_A: 0.622, idt_A: 0.377, D_B: 0.034, G_B: 0.311, cycle_B: 0.924, idt_B: 0.295

[Rank 0] (epoch: 2, iters: 1885, time: 0.643, data: 0.004) , D_A: 0.135, G_A: 0.682, cycle_A: 0.534, idt_A: 0.427, D_B: 0.153, G_B: 1.120, cycle_B: 0.973, idt_B: 0.200

[Rank 0] (epoch: 2, iters: 1985, time: 0.644, data: 0.003) , D_A: 0.101, G_A: 0.690, cycle_A: 1.201, idt_A: 0.323, D_B: 0.096, G_B: 0.424, cycle_B: 0.937, idt_B: 0.624

[Rank 0] (epoch: 2, iters: 2085, time: 0.644, data: 0.005) , D_A: 0.234, G_A: 0.799, cycle_A: 0.510, idt_A: 0.510, D_B: 0.067, G_B: 0.699, cycle_B: 1.177, idt_B: 0.214

[Rank 0] (epoch: 2, iters: 2185, time: 0.645, data: 0.002) , D_A: 0.457, G_A: 1.224, cycle_A: 0.775, idt_A: 0.383, D_B: 0.237, G_B: 1.095, cycle_B: 0.811, idt_B: 0.379

[Rank 0] (epoch: 2, iters: 2285, time: 0.645, data: 0.002) , D_A: 0.098, G_A: 0.469, cycle_A: 0.751, idt_A: 0.387, D_B: 0.020, G_B: 0.756, cycle_B: 0.925, idt_B: 0.166

[Rank 0] (epoch: 2, iters: 2385, time: 0.645, data: 0.003) , D_A: 0.451, G_A: 0.025, cycle_A: 0.449, idt_A: 0.343, D_B: 0.029, G_B: 0.635, cycle_B: 1.035, idt_B: 0.224

[Rank 0] (epoch: 2, iters: 2485, time: 0.645, data: 0.003) , D_A: 0.132, G_A: 0.356, cycle_A: 0.465, idt_A: 0.416, D_B: 0.142, G_B: 0.320, cycle_B: 0.953, idt_B: 0.188

[Rank 0] (epoch: 2, iters: 2585, time: 0.645, data: 0.002) , D_A: 0.120, G_A: 0.450, cycle_A: 0.571, idt_A: 0.436, D_B: 0.043, G_B: 0.768, cycle_B: 0.863, idt_B: 0.234

[Rank 0] (epoch: 2, iters: 2685, time: 0.645, data: 0.002) , D_A: 0.182, G_A: 1.230, cycle_A: 0.876, idt_A: 0.303, D_B: 0.135, G_B: 0.558, cycle_B: 0.820, idt_B: 0.285

[Rank 0] (epoch: 3, iters: 70, time: 0.646, data: 0.002) , D_A: 0.138, G_A: 1.405, cycle_A: 0.557, idt_A: 0.384, D_B: 0.189, G_B: 0.331, cycle_B: 0.962, idt_B: 0.193

[Rank 0] (epoch: 3, iters: 170, time: 0.906, data: 0.002) , D_A: 0.541, G_A: 1.291, cycle_A: 0.554, idt_A: 0.482, D_B: 0.065, G_B: 0.158, cycle_B: 1.024, idt_B: 0.197

[Rank 0] (epoch: 3, iters: 270, time: 0.643, data: 0.003) , D_A: 0.195, G_A: 0.373, cycle_A: 0.603, idt_A: 0.373, D_B: 0.076, G_B: 0.460, cycle_B: 0.652, idt_B: 0.259

[Rank 0] (epoch: 3, iters: 370, time: 0.643, data: 0.004) , D_A: 0.349, G_A: 0.699, cycle_A: 0.504, idt_A: 0.522, D_B: 0.046, G_B: 0.459, cycle_B: 1.328, idt_B: 0.245

[Rank 0] (epoch: 3, iters: 470, time: 0.646, data: 0.003) , D_A: 0.128, G_A: 0.368, cycle_A: 0.569, idt_A: 0.311, D_B: 0.093, G_B: 0.538, cycle_B: 0.757, idt_B: 0.225

[Rank 0] (epoch: 3, iters: 570, time: 0.932, data: 0.002) , D_A: 0.287, G_A: 0.367, cycle_A: 0.460, idt_A: 0.726, D_B: 0.083, G_B: 0.476, cycle_B: 1.759, idt_B: 0.187

[Rank 0] (epoch: 3, iters: 670, time: 0.642, data: 0.002) , D_A: 0.114, G_A: 0.613, cycle_A: 0.448, idt_A: 0.331, D_B: 0.073, G_B: 0.480, cycle_B: 0.998, idt_B: 0.158

[Rank 0] (epoch: 3, iters: 770, time: 0.646, data: 0.002) , D_A: 0.260, G_A: 0.290, cycle_A: 0.636, idt_A: 0.412, D_B: 0.060, G_B: 1.023, cycle_B: 1.633, idt_B: 0.283

[Rank 0] (epoch: 3, iters: 870, time: 0.643, data: 0.002) , D_A: 0.227, G_A: 0.771, cycle_A: 0.494, idt_A: 0.336, D_B: 0.039, G_B: 0.797, cycle_B: 0.744, idt_B: 0.243

[Rank 0] (epoch: 3, iters: 970, time: 0.642, data: 0.002) , D_A: 0.171, G_A: 0.252, cycle_A: 0.596, idt_A: 0.386, D_B: 0.128, G_B: 0.782, cycle_B: 1.880, idt_B: 0.167

[Rank 0] (epoch: 3, iters: 1070, time: 0.644, data: 0.002) , D_A: 0.272, G_A: 0.195, cycle_A: 0.499, idt_A: 0.500, D_B: 0.208, G_B: 0.216, cycle_B: 1.195, idt_B: 0.238

[Rank 0] (epoch: 3, iters: 1170, time: 0.644, data: 0.003) , D_A: 0.365, G_A: 0.053, cycle_A: 0.432, idt_A: 0.348, D_B: 0.055, G_B: 0.673, cycle_B: 0.738, idt_B: 0.207

[Rank 0] (epoch: 3, iters: 1270, time: 0.644, data: 0.002) , D_A: 0.450, G_A: 0.365, cycle_A: 0.428, idt_A: 0.318, D_B: 0.304, G_B: 0.093, cycle_B: 1.099, idt_B: 0.176

[Rank 0] (epoch: 3, iters: 1370, time: 0.644, data: 0.002) , D_A: 0.366, G_A: 0.099, cycle_A: 0.454, idt_A: 0.297, D_B: 0.170, G_B: 0.287, cycle_B: 0.950, idt_B: 0.188

[Rank 0] (epoch: 3, iters: 1470, time: 0.644, data: 0.002) , D_A: 0.029, G_A: 0.869, cycle_A: 1.277, idt_A: 0.303, D_B: 0.079, G_B: 0.489, cycle_B: 0.611, idt_B: 0.578

[Rank 0] (epoch: 3, iters: 1570, time: 0.641, data: 0.002) , D_A: 0.050, G_A: 0.612, cycle_A: 0.427, idt_A: 0.274, D_B: 0.043, G_B: 0.733, cycle_B: 0.775, idt_B: 0.185

[Rank 0] (epoch: 3, iters: 1670, time: 0.644, data: 0.003) , D_A: 0.178, G_A: 0.533, cycle_A: 0.486, idt_A: 0.271, D_B: 0.087, G_B: 0.597, cycle_B: 0.782, idt_B: 0.182

[Rank 0] (epoch: 3, iters: 1770, time: 0.645, data: 0.004) , D_A: 0.146, G_A: 0.265, cycle_A: 0.620, idt_A: 0.437, D_B: 0.074, G_B: 0.951, cycle_B: 1.273, idt_B: 0.245

[Rank 0] (epoch: 3, iters: 1870, time: 0.643, data: 0.002) , D_A: 0.229, G_A: 0.704, cycle_A: 0.422, idt_A: 0.317, D_B: 0.159, G_B: 0.274, cycle_B: 0.888, idt_B: 0.194

[Rank 0] (epoch: 3, iters: 1970, time: 0.643, data: 0.002) , D_A: 0.376, G_A: 0.388, cycle_A: 0.449, idt_A: 0.534, D_B: 0.034, G_B: 0.329, cycle_B: 1.454, idt_B: 0.192

[Rank 0] (epoch: 3, iters: 2070, time: 0.643, data: 0.002) , D_A: 0.147, G_A: 0.265, cycle_A: 0.612, idt_A: 0.269, D_B: 0.046, G_B: 1.074, cycle_B: 0.746, idt_B: 0.286

[Rank 0] (epoch: 3, iters: 2170, time: 0.639, data: 0.002) , D_A: 0.225, G_A: 0.178, cycle_A: 0.381, idt_A: 0.290, D_B: 0.152, G_B: 0.404, cycle_B: 0.505, idt_B: 0.212

[Rank 0] (epoch: 3, iters: 2270, time: 0.643, data: 0.002) , D_A: 0.101, G_A: 0.786, cycle_A: 0.666, idt_A: 0.310, D_B: 0.090, G_B: 0.456, cycle_B: 0.622, idt_B: 0.175

[Rank 0] (epoch: 3, iters: 2370, time: 0.645, data: 0.002) , D_A: 0.168, G_A: 0.390, cycle_A: 0.483, idt_A: 0.320, D_B: 0.164, G_B: 0.615, cycle_B: 0.724, idt_B: 0.197

[Rank 0] (epoch: 3, iters: 2470, time: 0.644, data: 0.002) , D_A: 0.284, G_A: 0.297, cycle_A: 0.502, idt_A: 0.270, D_B: 0.075, G_B: 0.174, cycle_B: 0.596, idt_B: 0.398

[Rank 0] (epoch: 3, iters: 2570, time: 0.967, data: 0.005) , D_A: 0.328, G_A: 0.564, cycle_A: 0.728, idt_A: 0.675, D_B: 0.017, G_B: 0.484, cycle_B: 1.752, idt_B: 0.281

[Rank 0] (epoch: 3, iters: 2670, time: 0.642, data: 0.003) , D_A: 0.171, G_A: 0.457, cycle_A: 0.492, idt_A: 0.308, D_B: 0.052, G_B: 0.450, cycle_B: 0.722, idt_B: 0.211

[Rank 0] (epoch: 4, iters: 55, time: 0.639, data: 0.003) , D_A: 0.029, G_A: 0.701, cycle_A: 0.426, idt_A: 0.237, D_B: 0.014, G_B: 0.602, cycle_B: 0.644, idt_B: 0.216

[Rank 0] (epoch: 4, iters: 155, time: 0.643, data: 0.002) , D_A: 0.298, G_A: 0.146, cycle_A: 0.457, idt_A: 0.314, D_B: 0.199, G_B: 0.190, cycle_B: 0.842, idt_B: 0.322

[Rank 0] (epoch: 4, iters: 255, time: 0.918, data: 0.002) , D_A: 0.146, G_A: 0.428, cycle_A: 0.433, idt_A: 0.286, D_B: 0.030, G_B: 0.504, cycle_B: 0.672, idt_B: 0.195

[Rank 0] (epoch: 4, iters: 355, time: 0.643, data: 0.002) , D_A: 0.226, G_A: 0.698, cycle_A: 0.634, idt_A: 0.400, D_B: 0.129, G_B: 0.239, cycle_B: 0.942, idt_B: 0.166

[Rank 0] (epoch: 4, iters: 455, time: 0.645, data: 0.002) , D_A: 0.043, G_A: 0.660, cycle_A: 0.482, idt_A: 0.395, D_B: 0.027, G_B: 0.690, cycle_B: 0.982, idt_B: 0.205

[Rank 0] (epoch: 4, iters: 555, time: 0.644, data: 0.002) , D_A: 0.268, G_A: 0.906, cycle_A: 0.463, idt_A: 0.290, D_B: 0.117, G_B: 0.323, cycle_B: 0.738, idt_B: 0.254

[Rank 0] (epoch: 4, iters: 655, time: 0.645, data: 0.002) , D_A: 0.102, G_A: 0.409, cycle_A: 0.762, idt_A: 0.344, D_B: 0.428, G_B: 0.062, cycle_B: 0.845, idt_B: 0.252

[Rank 0] (epoch: 4, iters: 755, time: 0.645, data: 0.002) , D_A: 0.058, G_A: 0.676, cycle_A: 0.486, idt_A: 0.189, D_B: 0.096, G_B: 0.536, cycle_B: 0.464, idt_B: 0.212

[Rank 0] (epoch: 4, iters: 855, time: 0.642, data: 0.002) , D_A: 0.348, G_A: 1.405, cycle_A: 0.436, idt_A: 0.320, D_B: 0.107, G_B: 0.666, cycle_B: 0.974, idt_B: 0.274

[Rank 0] (epoch: 4, iters: 955, time: 0.644, data: 0.004) , D_A: 0.176, G_A: 0.566, cycle_A: 0.619, idt_A: 0.305, D_B: 0.117, G_B: 0.385, cycle_B: 0.707, idt_B: 0.277

[Rank 0] (epoch: 4, iters: 1055, time: 0.644, data: 0.004) , D_A: 0.247, G_A: 0.899, cycle_A: 0.466, idt_A: 1.316, D_B: 0.177, G_B: 0.977, cycle_B: 3.472, idt_B: 0.134

[Rank 0] (epoch: 4, iters: 1155, time: 0.645, data: 0.002) , D_A: 0.096, G_A: 0.765, cycle_A: 0.544, idt_A: 0.310, D_B: 0.062, G_B: 0.849, cycle_B: 1.125, idt_B: 0.210

[Rank 0] (epoch: 4, iters: 1255, time: 0.644, data: 0.003) , D_A: 0.116, G_A: 0.422, cycle_A: 0.679, idt_A: 0.319, D_B: 0.067, G_B: 0.563, cycle_B: 0.803, idt_B: 0.283

[Rank 0] (epoch: 4, iters: 1355, time: 0.644, data: 0.002) , D_A: 0.327, G_A: 0.309, cycle_A: 0.546, idt_A: 0.550, D_B: 0.064, G_B: 0.560, cycle_B: 0.907, idt_B: 0.237

[Rank 0] (epoch: 4, iters: 1455, time: 0.642, data: 0.002) , D_A: 0.106, G_A: 0.435, cycle_A: 0.611, idt_A: 0.324, D_B: 0.109, G_B: 0.777, cycle_B: 0.695, idt_B: 0.267

[Rank 0] (epoch: 4, iters: 1555, time: 0.644, data: 0.002) , D_A: 0.169, G_A: 0.572, cycle_A: 0.502, idt_A: 0.266, D_B: 0.154, G_B: 0.562, cycle_B: 0.583, idt_B: 0.200

[Rank 0] (epoch: 4, iters: 1655, time: 0.644, data: 0.002) , D_A: 0.049, G_A: 0.745, cycle_A: 0.683, idt_A: 0.260, D_B: 0.074, G_B: 0.972, cycle_B: 0.641, idt_B: 0.271

[Rank 0] (epoch: 4, iters: 1755, time: 0.643, data: 0.003) , D_A: 0.164, G_A: 0.413, cycle_A: 0.488, idt_A: 0.444, D_B: 0.079, G_B: 0.944, cycle_B: 0.866, idt_B: 0.207

[Rank 0] (epoch: 4, iters: 1855, time: 0.913, data: 0.002) , D_A: 0.147, G_A: 0.274, cycle_A: 0.601, idt_A: 0.519, D_B: 0.034, G_B: 0.236, cycle_B: 1.123, idt_B: 0.262

[Rank 0] (epoch: 4, iters: 1955, time: 0.642, data: 0.002) , D_A: 0.122, G_A: 0.360, cycle_A: 0.718, idt_A: 0.385, D_B: 0.095, G_B: 0.540, cycle_B: 0.783, idt_B: 0.226

[Rank 0] (epoch: 4, iters: 2055, time: 0.644, data: 0.004) , D_A: 0.124, G_A: 0.330, cycle_A: 0.371, idt_A: 0.308, D_B: 0.069, G_B: 0.421, cycle_B: 1.040, idt_B: 0.159

[Rank 0] (epoch: 4, iters: 2155, time: 0.643, data: 0.003) , D_A: 0.071, G_A: 0.905, cycle_A: 0.514, idt_A: 0.347, D_B: 0.108, G_B: 0.368, cycle_B: 1.197, idt_B: 0.220

[Rank 0] (epoch: 4, iters: 2255, time: 0.643, data: 0.002) , D_A: 0.050, G_A: 0.513, cycle_A: 0.475, idt_A: 0.340, D_B: 0.168, G_B: 0.695, cycle_B: 0.751, idt_B: 0.178

[Rank 0] (epoch: 4, iters: 2355, time: 0.642, data: 0.002) , D_A: 0.039, G_A: 1.242, cycle_A: 0.384, idt_A: 1.755, D_B: 0.083, G_B: 0.023, cycle_B: 3.289, idt_B: 0.176

[Rank 0] (epoch: 4, iters: 2455, time: 0.644, data: 0.002) , D_A: 0.139, G_A: 0.493, cycle_A: 0.366, idt_A: 0.299, D_B: 0.197, G_B: 0.137, cycle_B: 0.715, idt_B: 0.183

[Rank 0] (epoch: 4, iters: 2555, time: 0.642, data: 0.002) , D_A: 0.049, G_A: 1.330, cycle_A: 0.527, idt_A: 0.317, D_B: 0.053, G_B: 0.817, cycle_B: 0.675, idt_B: 0.190

[Rank 0] (epoch: 4, iters: 2655, time: 0.644, data: 0.002) , D_A: 0.082, G_A: 0.806, cycle_A: 0.466, idt_A: 0.249, D_B: 0.128, G_B: 0.435, cycle_B: 0.739, idt_B: 0.189

[Rank 0] (epoch: 5, iters: 40, time: 0.641, data: 0.002) , D_A: 0.204, G_A: 0.445, cycle_A: 0.431, idt_A: 0.273, D_B: 0.231, G_B: 1.153, cycle_B: 0.708, idt_B: 0.205

[Rank 0] (epoch: 5, iters: 140, time: 0.644, data: 0.002) , D_A: 0.232, G_A: 0.438, cycle_A: 0.350, idt_A: 0.302, D_B: 0.055, G_B: 0.271, cycle_B: 0.675, idt_B: 0.174

[Rank 0] (epoch: 5, iters: 240, time: 0.645, data: 0.002) , D_A: 0.155, G_A: 0.890, cycle_A: 0.276, idt_A: 0.459, D_B: 0.016, G_B: 0.914, cycle_B: 1.013, idt_B: 0.164

[Rank 0] (epoch: 5, iters: 340, time: 0.980, data: 0.002) , D_A: 0.631, G_A: 1.104, cycle_A: 0.487, idt_A: 0.288, D_B: 0.065, G_B: 0.386, cycle_B: 0.671, idt_B: 0.198

[Rank 0] (epoch: 5, iters: 440, time: 0.643, data: 0.002) , D_A: 0.081, G_A: 0.814, cycle_A: 0.299, idt_A: 0.217, D_B: 0.059, G_B: 0.339, cycle_B: 0.556, idt_B: 0.121

[Rank 0] (epoch: 5, iters: 540, time: 0.643, data: 0.004) , D_A: 0.091, G_A: 0.840, cycle_A: 0.522, idt_A: 0.274, D_B: 0.059, G_B: 0.842, cycle_B: 0.819, idt_B: 0.174

[Rank 0] (epoch: 5, iters: 640, time: 0.646, data: 0.002) , D_A: 0.111, G_A: 0.188, cycle_A: 0.406, idt_A: 0.255, D_B: 0.273, G_B: 0.725, cycle_B: 0.591, idt_B: 0.192

[Rank 0] (epoch: 5, iters: 740, time: 0.645, data: 0.002) , D_A: 0.123, G_A: 0.796, cycle_A: 0.469, idt_A: 0.270, D_B: 0.178, G_B: 0.199, cycle_B: 0.736, idt_B: 0.167

[Rank 0] (epoch: 5, iters: 840, time: 0.646, data: 0.002) , D_A: 0.026, G_A: 0.880, cycle_A: 0.757, idt_A: 0.650, D_B: 0.046, G_B: 0.714, cycle_B: 0.841, idt_B: 0.235

[Rank 0] (epoch: 5, iters: 940, time: 0.645, data: 0.002) , D_A: 0.281, G_A: 0.501, cycle_A: 0.489, idt_A: 0.241, D_B: 0.098, G_B: 0.199, cycle_B: 0.499, idt_B: 0.256

[Rank 0] (epoch: 5, iters: 1040, time: 0.642, data: 0.002) , D_A: 0.132, G_A: 0.257, cycle_A: 0.549, idt_A: 0.322, D_B: 0.242, G_B: 0.060, cycle_B: 1.491, idt_B: 0.330

