================ Training Loss (Wed Oct 15 14:10:54 2025) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.040, data: 0.152) , G_GAN: 0.760, G_L1: 8.585, D_real: 0.740, D_fake: 0.825
[Rank 0] (epoch: 1, iters: 1300, time: 0.039, data: 0.002) , G_GAN: 0.695, G_L1: 4.899, D_real: 0.700, D_fake: 0.703

[Rank 0] (epoch: 1, iters: 1400, time: 0.040, data: 0.003) , G_GAN: 0.702, G_L1: 4.262, D_real: 0.684, D_fake: 0.712

[Rank 0] (epoch: 1, iters: 1500, time: 0.040, data: 0.003) , G_GAN: 0.689, G_L1: 3.571, D_real: 0.674, D_fake: 0.718

[Rank 0] (epoch: 1, iters: 1600, time: 0.039, data: 0.003) , G_GAN: 0.706, G_L1: 4.677, D_real: 0.701, D_fake: 0.700

[Rank 0] (epoch: 1, iters: 1700, time: 0.039, data: 0.003) , G_GAN: 0.703, G_L1: 4.622, D_real: 0.700, D_fake: 0.693

[Rank 0] (epoch: 1, iters: 1800, time: 0.039, data: 0.002) , G_GAN: 0.708, G_L1: 6.016, D_real: 0.701, D_fake: 0.701

[Rank 0] (epoch: 1, iters: 1900, time: 0.039, data: 0.002) , G_GAN: 0.712, G_L1: 3.875, D_real: 0.704, D_fake: 0.695

[Rank 0] (epoch: 1, iters: 2000, time: 0.056, data: 0.003) , G_GAN: 0.694, G_L1: 4.626, D_real: 0.691, D_fake: 0.703

[Rank 0] (epoch: 1, iters: 2100, time: 0.039, data: 0.003) , G_GAN: 0.697, G_L1: 3.271, D_real: 0.716, D_fake: 0.721

[Rank 0] (epoch: 1, iters: 2200, time: 0.039, data: 0.003) , G_GAN: 0.765, G_L1: 5.209, D_real: 0.709, D_fake: 0.700

[Rank 0] (epoch: 1, iters: 2300, time: 0.040, data: 0.003) , G_GAN: 0.694, G_L1: 4.341, D_real: 0.686, D_fake: 0.700

[Rank 0] (epoch: 1, iters: 2400, time: 0.039, data: 0.003) , G_GAN: 0.707, G_L1: 3.829, D_real: 0.693, D_fake: 0.706

[Rank 0] (epoch: 2, iters: 100, time: 0.039, data: 0.130) , G_GAN: 0.703, G_L1: 2.918, D_real: 0.711, D_fake: 0.692

[Rank 0] (epoch: 2, iters: 200, time: 0.040, data: 0.003) , G_GAN: 0.721, G_L1: 3.650, D_real: 0.687, D_fake: 0.704

[Rank 0] (epoch: 2, iters: 300, time: 0.040, data: 0.003) , G_GAN: 0.701, G_L1: 3.542, D_real: 0.687, D_fake: 0.700

[Rank 0] (epoch: 2, iters: 400, time: 0.056, data: 0.003) , G_GAN: 0.695, G_L1: 3.379, D_real: 0.699, D_fake: 0.691

[Rank 0] (epoch: 2, iters: 500, time: 0.039, data: 0.003) , G_GAN: 0.708, G_L1: 3.015, D_real: 0.702, D_fake: 0.688

[Rank 0] (epoch: 2, iters: 600, time: 0.040, data: 0.003) , G_GAN: 0.699, G_L1: 3.284, D_real: 0.694, D_fake: 0.694

[Rank 0] (epoch: 2, iters: 700, time: 0.039, data: 0.003) , G_GAN: 0.699, G_L1: 3.016, D_real: 0.694, D_fake: 0.697

[Rank 0] (epoch: 2, iters: 800, time: 0.040, data: 0.003) , G_GAN: 0.689, G_L1: 3.867, D_real: 0.688, D_fake: 0.705

[Rank 0] (epoch: 2, iters: 900, time: 0.040, data: 0.003) , G_GAN: 0.706, G_L1: 3.658, D_real: 0.713, D_fake: 0.683

[Rank 0] (epoch: 2, iters: 1000, time: 0.040, data: 0.003) , G_GAN: 0.702, G_L1: 3.847, D_real: 0.690, D_fake: 0.698

[Rank 0] (epoch: 2, iters: 1100, time: 0.040, data: 0.003) , G_GAN: 0.682, G_L1: 4.043, D_real: 0.687, D_fake: 0.704

[Rank 0] (epoch: 2, iters: 1200, time: 0.039, data: 0.003) , G_GAN: 0.765, G_L1: 3.511, D_real: 0.656, D_fake: 0.770

[Rank 0] (epoch: 2, iters: 1300, time: 0.040, data: 0.002) , G_GAN: 0.709, G_L1: 3.540, D_real: 0.684, D_fake: 0.770

[Rank 0] (epoch: 2, iters: 1400, time: 0.039, data: 0.002) , G_GAN: 0.694, G_L1: 3.731, D_real: 0.712, D_fake: 0.678

[Rank 0] (epoch: 2, iters: 1500, time: 0.039, data: 0.002) , G_GAN: 0.691, G_L1: 3.447, D_real: 0.692, D_fake: 0.697

[Rank 0] (epoch: 2, iters: 1600, time: 0.054, data: 0.003) , G_GAN: 0.696, G_L1: 2.995, D_real: 0.690, D_fake: 0.700

[Rank 0] (epoch: 2, iters: 1700, time: 0.039, data: 0.003) , G_GAN: 0.691, G_L1: 4.361, D_real: 0.689, D_fake: 0.698

[Rank 0] (epoch: 2, iters: 1800, time: 0.040, data: 0.003) , G_GAN: 0.702, G_L1: 3.323, D_real: 0.685, D_fake: 0.703

[Rank 0] (epoch: 2, iters: 1900, time: 0.039, data: 0.003) , G_GAN: 0.688, G_L1: 2.842, D_real: 0.719, D_fake: 0.672

[Rank 0] (epoch: 2, iters: 2000, time: 0.039, data: 0.003) , G_GAN: 0.704, G_L1: 2.849, D_real: 0.685, D_fake: 0.704

[Rank 0] (epoch: 2, iters: 2100, time: 0.040, data: 0.002) , G_GAN: 0.714, G_L1: 3.069, D_real: 0.684, D_fake: 0.709

[Rank 0] (epoch: 2, iters: 2200, time: 0.040, data: 0.003) , G_GAN: 0.714, G_L1: 2.994, D_real: 0.692, D_fake: 0.700

[Rank 0] (epoch: 2, iters: 2300, time: 0.039, data: 0.003) , G_GAN: 0.703, G_L1: 3.760, D_real: 0.684, D_fake: 0.707

[Rank 0] (epoch: 2, iters: 2400, time: 0.040, data: 0.003) , G_GAN: 0.676, G_L1: 3.417, D_real: 0.695, D_fake: 0.703

[Rank 0] (epoch: 3, iters: 100, time: 0.039, data: 0.132) , G_GAN: 0.680, G_L1: 2.734, D_real: 0.725, D_fake: 0.671

[Rank 0] (epoch: 3, iters: 200, time: 0.040, data: 0.003) , G_GAN: 0.699, G_L1: 2.400, D_real: 0.693, D_fake: 0.695

[Rank 0] (epoch: 3, iters: 300, time: 0.039, data: 0.003) , G_GAN: 0.694, G_L1: 2.850, D_real: 0.695, D_fake: 0.691

[Rank 0] (epoch: 3, iters: 400, time: 0.056, data: 0.003) , G_GAN: 0.687, G_L1: 2.785, D_real: 0.699, D_fake: 0.690

[Rank 0] (epoch: 3, iters: 500, time: 0.039, data: 0.003) , G_GAN: 0.715, G_L1: 3.099, D_real: 0.671, D_fake: 0.744

[Rank 0] (epoch: 3, iters: 600, time: 0.040, data: 0.003) , G_GAN: 0.699, G_L1: 2.076, D_real: 0.697, D_fake: 0.693

[Rank 0] (epoch: 3, iters: 700, time: 0.039, data: 0.003) , G_GAN: 0.686, G_L1: 3.749, D_real: 0.691, D_fake: 0.698

[Rank 0] (epoch: 3, iters: 800, time: 0.040, data: 0.002) , G_GAN: 0.699, G_L1: 3.386, D_real: 0.701, D_fake: 0.691

[Rank 0] (epoch: 3, iters: 900, time: 0.039, data: 0.002) , G_GAN: 0.696, G_L1: 2.717, D_real: 0.675, D_fake: 0.715

[Rank 0] (epoch: 3, iters: 1000, time: 0.039, data: 0.003) , G_GAN: 0.698, G_L1: 3.045, D_real: 0.698, D_fake: 0.689

[Rank 0] (epoch: 3, iters: 1100, time: 0.040, data: 0.003) , G_GAN: 0.696, G_L1: 3.366, D_real: 0.682, D_fake: 0.705

[Rank 0] (epoch: 3, iters: 1200, time: 0.054, data: 0.003) , G_GAN: 0.703, G_L1: 3.279, D_real: 0.694, D_fake: 0.693

[Rank 0] (epoch: 3, iters: 1300, time: 0.040, data: 0.003) , G_GAN: 0.730, G_L1: 3.506, D_real: 0.639, D_fake: 0.763

[Rank 0] (epoch: 3, iters: 1400, time: 0.039, data: 0.003) , G_GAN: 0.690, G_L1: 2.483, D_real: 0.735, D_fake: 0.659

[Rank 0] (epoch: 3, iters: 1500, time: 0.039, data: 0.003) , G_GAN: 0.692, G_L1: 3.570, D_real: 0.708, D_fake: 0.684

[Rank 0] (epoch: 3, iters: 1600, time: 0.040, data: 0.003) , G_GAN: 0.690, G_L1: 3.032, D_real: 0.714, D_fake: 0.675

[Rank 0] (epoch: 3, iters: 1700, time: 0.040, data: 0.003) , G_GAN: 0.712, G_L1: 3.239, D_real: 0.692, D_fake: 0.702

[Rank 0] (epoch: 3, iters: 1800, time: 0.039, data: 0.002) , G_GAN: 0.706, G_L1: 2.759, D_real: 0.691, D_fake: 0.696

[Rank 0] (epoch: 3, iters: 1900, time: 0.040, data: 0.002) , G_GAN: 0.735, G_L1: 2.744, D_real: 0.663, D_fake: 0.729

[Rank 0] (epoch: 3, iters: 2000, time: 0.039, data: 0.003) , G_GAN: 0.688, G_L1: 2.628, D_real: 0.704, D_fake: 0.690

[Rank 0] (epoch: 3, iters: 2100, time: 0.039, data: 0.003) , G_GAN: 0.679, G_L1: 3.672, D_real: 0.708, D_fake: 0.682

[Rank 0] (epoch: 3, iters: 2200, time: 0.039, data: 0.002) , G_GAN: 0.702, G_L1: 3.146, D_real: 0.700, D_fake: 0.702

[Rank 0] (epoch: 3, iters: 2300, time: 0.040, data: 0.002) , G_GAN: 0.712, G_L1: 2.441, D_real: 0.697, D_fake: 0.697

[Rank 0] (epoch: 3, iters: 2400, time: 0.040, data: 0.003) , G_GAN: 0.692, G_L1: 2.353, D_real: 0.698, D_fake: 0.689

[Rank 0] (epoch: 4, iters: 100, time: 0.039, data: 0.129) , G_GAN: 0.712, G_L1: 2.539, D_real: 0.695, D_fake: 0.692

[Rank 0] (epoch: 4, iters: 200, time: 0.039, data: 0.003) , G_GAN: 0.710, G_L1: 3.079, D_real: 0.700, D_fake: 0.688

[Rank 0] (epoch: 4, iters: 300, time: 0.039, data: 0.003) , G_GAN: 0.681, G_L1: 2.725, D_real: 0.686, D_fake: 0.704

[Rank 0] (epoch: 4, iters: 400, time: 0.053, data: 0.002) , G_GAN: 0.710, G_L1: 3.214, D_real: 0.675, D_fake: 0.715

[Rank 0] (epoch: 4, iters: 500, time: 0.040, data: 0.003) , G_GAN: 0.692, G_L1: 2.898, D_real: 0.695, D_fake: 0.695

[Rank 0] (epoch: 4, iters: 600, time: 0.039, data: 0.003) , G_GAN: 0.682, G_L1: 2.820, D_real: 0.711, D_fake: 0.677

[Rank 0] (epoch: 4, iters: 700, time: 0.039, data: 0.003) , G_GAN: 0.691, G_L1: 2.540, D_real: 0.706, D_fake: 0.684

[Rank 0] (epoch: 4, iters: 800, time: 0.053, data: 0.003) , G_GAN: 0.664, G_L1: 2.566, D_real: 0.737, D_fake: 0.659

[Rank 0] (epoch: 4, iters: 900, time: 0.040, data: 0.003) , G_GAN: 0.691, G_L1: 3.291, D_real: 0.692, D_fake: 0.694

[Rank 0] (epoch: 4, iters: 1000, time: 0.040, data: 0.003) , G_GAN: 0.680, G_L1: 2.842, D_real: 0.687, D_fake: 0.701

[Rank 0] (epoch: 4, iters: 1100, time: 0.040, data: 0.002) , G_GAN: 0.702, G_L1: 2.525, D_real: 0.703, D_fake: 0.689

[Rank 0] (epoch: 4, iters: 1200, time: 0.040, data: 0.003) , G_GAN: 0.691, G_L1: 2.649, D_real: 0.706, D_fake: 0.685

[Rank 0] (epoch: 4, iters: 1300, time: 0.040, data: 0.002) , G_GAN: 0.698, G_L1: 2.722, D_real: 0.689, D_fake: 0.700

[Rank 0] (epoch: 4, iters: 1400, time: 0.039, data: 0.003) , G_GAN: 0.708, G_L1: 2.261, D_real: 0.692, D_fake: 0.695

[Rank 0] (epoch: 4, iters: 1500, time: 0.040, data: 0.002) , G_GAN: 0.697, G_L1: 2.993, D_real: 0.707, D_fake: 0.680

[Rank 0] (epoch: 4, iters: 1600, time: 0.040, data: 0.003) , G_GAN: 0.730, G_L1: 3.155, D_real: 0.671, D_fake: 0.718

[Rank 0] (epoch: 4, iters: 1700, time: 0.040, data: 0.003) , G_GAN: 0.680, G_L1: 4.108, D_real: 0.714, D_fake: 0.673

[Rank 0] (epoch: 4, iters: 1800, time: 0.039, data: 0.003) , G_GAN: 0.741, G_L1: 2.873, D_real: 0.737, D_fake: 0.667

[Rank 0] (epoch: 4, iters: 1900, time: 0.039, data: 0.003) , G_GAN: 0.686, G_L1: 2.932, D_real: 0.711, D_fake: 0.678

[Rank 0] (epoch: 4, iters: 2000, time: 0.039, data: 0.002) , G_GAN: 0.697, G_L1: 2.664, D_real: 0.686, D_fake: 0.705

[Rank 0] (epoch: 4, iters: 2100, time: 0.039, data: 0.002) , G_GAN: 0.654, G_L1: 3.515, D_real: 0.752, D_fake: 0.648

[Rank 0] (epoch: 4, iters: 2200, time: 0.039, data: 0.002) , G_GAN: 0.729, G_L1: 2.849, D_real: 0.696, D_fake: 0.696

[Rank 0] (epoch: 4, iters: 2300, time: 0.039, data: 0.003) , G_GAN: 0.706, G_L1: 2.127, D_real: 0.729, D_fake: 0.676

[Rank 0] (epoch: 4, iters: 2400, time: 0.040, data: 0.003) , G_GAN: 0.695, G_L1: 1.994, D_real: 0.713, D_fake: 0.677

[Rank 0] (epoch: 5, iters: 100, time: 0.039, data: 0.139) , G_GAN: 0.699, G_L1: 2.413, D_real: 0.687, D_fake: 0.700

[Rank 0] (epoch: 5, iters: 200, time: 0.039, data: 0.003) , G_GAN: 0.699, G_L1: 2.482, D_real: 0.689, D_fake: 0.697

[Rank 0] (epoch: 5, iters: 300, time: 0.039, data: 0.003) , G_GAN: 0.707, G_L1: 2.369, D_real: 0.700, D_fake: 0.689

[Rank 0] (epoch: 5, iters: 400, time: 0.056, data: 0.003) , G_GAN: 0.700, G_L1: 2.337, D_real: 0.684, D_fake: 0.706

[Rank 0] (epoch: 5, iters: 500, time: 0.039, data: 0.003) , G_GAN: 0.691, G_L1: 2.302, D_real: 0.695, D_fake: 0.693

[Rank 0] (epoch: 5, iters: 600, time: 0.039, data: 0.003) , G_GAN: 0.705, G_L1: 2.546, D_real: 0.677, D_fake: 0.712

[Rank 0] (epoch: 5, iters: 700, time: 0.039, data: 0.002) , G_GAN: 0.692, G_L1: 2.374, D_real: 0.694, D_fake: 0.693

[Rank 0] (epoch: 5, iters: 800, time: 0.040, data: 0.002) , G_GAN: 0.697, G_L1: 2.497, D_real: 0.702, D_fake: 0.686

[Rank 0] (epoch: 5, iters: 900, time: 0.040, data: 0.003) , G_GAN: 0.688, G_L1: 2.543, D_real: 0.706, D_fake: 0.682

[Rank 0] (epoch: 5, iters: 1000, time: 0.040, data: 0.003) , G_GAN: 0.708, G_L1: 2.274, D_real: 0.709, D_fake: 0.680

[Rank 0] (epoch: 5, iters: 1100, time: 0.039, data: 0.003) , G_GAN: 0.680, G_L1: 2.320, D_real: 0.708, D_fake: 0.678

[Rank 0] (epoch: 5, iters: 1200, time: 0.039, data: 0.002) , G_GAN: 0.681, G_L1: 2.756, D_real: 0.668, D_fake: 0.720

[Rank 0] (epoch: 5, iters: 1300, time: 0.040, data: 0.003) , G_GAN: 0.697, G_L1: 2.365, D_real: 0.685, D_fake: 0.701

[Rank 0] (epoch: 5, iters: 1400, time: 0.040, data: 0.002) , G_GAN: 0.725, G_L1: 2.595, D_real: 0.673, D_fake: 0.716

[Rank 0] (epoch: 5, iters: 1500, time: 0.040, data: 0.003) , G_GAN: 0.694, G_L1: 2.444, D_real: 0.724, D_fake: 0.668

[Rank 0] (epoch: 5, iters: 1600, time: 0.040, data: 0.003) , G_GAN: 0.705, G_L1: 2.504, D_real: 0.662, D_fake: 0.728

[Rank 0] (epoch: 5, iters: 1700, time: 0.040, data: 0.003) , G_GAN: 0.699, G_L1: 2.420, D_real: 0.700, D_fake: 0.691

[Rank 0] (epoch: 5, iters: 1800, time: 0.040, data: 0.003) , G_GAN: 0.695, G_L1: 2.389, D_real: 0.703, D_fake: 0.684

[Rank 0] (epoch: 5, iters: 1900, time: 0.039, data: 0.003) , G_GAN: 0.692, G_L1: 3.722, D_real: 0.692, D_fake: 0.696

[Rank 0] (epoch: 5, iters: 2000, time: 0.039, data: 0.003) , G_GAN: 0.703, G_L1: 2.353, D_real: 0.690, D_fake: 0.692

[Rank 0] (epoch: 5, iters: 2100, time: 0.039, data: 0.002) , G_GAN: 0.700, G_L1: 3.241, D_real: 0.673, D_fake: 0.711

[Rank 0] (epoch: 5, iters: 2200, time: 0.039, data: 0.003) , G_GAN: 0.685, G_L1: 2.643, D_real: 0.705, D_fake: 0.680

[Rank 0] (epoch: 5, iters: 2300, time: 0.039, data: 0.003) , G_GAN: 0.697, G_L1: 2.366, D_real: 0.736, D_fake: 0.660

[Rank 0] (epoch: 5, iters: 2400, time: 0.058, data: 0.003) , G_GAN: 0.689, G_L1: 2.445, D_real: 0.688, D_fake: 0.697

[Rank 0] (epoch: 6, iters: 100, time: 0.039, data: 0.141) , G_GAN: 0.715, G_L1: 2.264, D_real: 0.662, D_fake: 0.727

[Rank 0] (epoch: 6, iters: 200, time: 0.040, data: 0.003) , G_GAN: 0.687, G_L1: 2.627, D_real: 0.702, D_fake: 0.685

[Rank 0] (epoch: 6, iters: 300, time: 0.039, data: 0.003) , G_GAN: 0.695, G_L1: 2.364, D_real: 0.707, D_fake: 0.676

[Rank 0] (epoch: 6, iters: 400, time: 0.055, data: 0.003) , G_GAN: 0.761, G_L1: 2.450, D_real: 0.681, D_fake: 0.716

[Rank 0] (epoch: 6, iters: 500, time: 0.039, data: 0.002) , G_GAN: 0.744, G_L1: 2.604, D_real: 0.696, D_fake: 0.695

[Rank 0] (epoch: 6, iters: 600, time: 0.040, data: 0.002) , G_GAN: 0.712, G_L1: 2.397, D_real: 0.642, D_fake: 0.738

[Rank 0] (epoch: 6, iters: 700, time: 0.040, data: 0.003) , G_GAN: 0.773, G_L1: 2.979, D_real: 0.632, D_fake: 0.758

[Rank 0] (epoch: 6, iters: 800, time: 0.039, data: 0.002) , G_GAN: 0.718, G_L1: 2.661, D_real: 0.662, D_fake: 0.706

[Rank 0] (epoch: 6, iters: 900, time: 0.039, data: 0.003) , G_GAN: 0.701, G_L1: 2.892, D_real: 0.646, D_fake: 0.754

[Rank 0] (epoch: 6, iters: 1000, time: 0.039, data: 0.003) , G_GAN: 0.638, G_L1: 2.460, D_real: 0.639, D_fake: 0.751

[Rank 0] (epoch: 6, iters: 1100, time: 0.039, data: 0.002) , G_GAN: 0.748, G_L1: 2.882, D_real: 0.687, D_fake: 0.684

[Rank 0] (epoch: 6, iters: 1200, time: 0.040, data: 0.003) , G_GAN: 0.715, G_L1: 2.004, D_real: 0.715, D_fake: 0.670

[Rank 0] (epoch: 6, iters: 1300, time: 0.040, data: 0.002) , G_GAN: 0.801, G_L1: 3.094, D_real: 0.678, D_fake: 0.700

[Rank 0] (epoch: 6, iters: 1400, time: 0.040, data: 0.003) , G_GAN: 0.747, G_L1: 2.533, D_real: 0.700, D_fake: 0.664

[Rank 0] (epoch: 6, iters: 1500, time: 0.038, data: 0.003) , G_GAN: 0.729, G_L1: 2.245, D_real: 0.651, D_fake: 0.732

[Rank 0] (epoch: 6, iters: 1600, time: 0.039, data: 0.003) , G_GAN: 0.620, G_L1: 2.276, D_real: 0.751, D_fake: 0.630

[Rank 0] (epoch: 6, iters: 1700, time: 0.039, data: 0.003) , G_GAN: 0.619, G_L1: 2.180, D_real: 0.879, D_fake: 0.555

[Rank 0] (epoch: 6, iters: 1800, time: 0.039, data: 0.002) , G_GAN: 0.533, G_L1: 2.949, D_real: 0.935, D_fake: 0.507

[Rank 0] (epoch: 6, iters: 1900, time: 0.039, data: 0.003) , G_GAN: 0.713, G_L1: 3.909, D_real: 0.764, D_fake: 0.636

[Rank 0] (epoch: 6, iters: 2000, time: 0.055, data: 0.003) , G_GAN: 0.755, G_L1: 2.581, D_real: 0.697, D_fake: 0.712

[Rank 0] (epoch: 6, iters: 2100, time: 0.040, data: 0.003) , G_GAN: 0.785, G_L1: 3.058, D_real: 0.592, D_fake: 0.843

[Rank 0] (epoch: 6, iters: 2200, time: 0.039, data: 0.003) , G_GAN: 0.938, G_L1: 2.715, D_real: 0.563, D_fake: 0.760

[Rank 0] (epoch: 6, iters: 2300, time: 0.039, data: 0.003) , G_GAN: 0.804, G_L1: 2.218, D_real: 0.550, D_fake: 0.859

[Rank 0] (epoch: 6, iters: 2400, time: 0.039, data: 0.003) , G_GAN: 0.655, G_L1: 2.371, D_real: 0.857, D_fake: 0.547

[Rank 0] (epoch: 7, iters: 100, time: 0.039, data: 0.136) , G_GAN: 0.672, G_L1: 2.171, D_real: 0.805, D_fake: 0.577

[Rank 0] (epoch: 7, iters: 200, time: 0.039, data: 0.003) , G_GAN: 0.783, G_L1: 2.645, D_real: 0.718, D_fake: 0.635

[Rank 0] (epoch: 7, iters: 300, time: 0.039, data: 0.003) , G_GAN: 1.270, G_L1: 2.821, D_real: 0.488, D_fake: 0.706

[Rank 0] (epoch: 7, iters: 400, time: 0.057, data: 0.003) , G_GAN: 0.786, G_L1: 4.363, D_real: 0.583, D_fake: 0.789

[Rank 0] (epoch: 7, iters: 500, time: 0.040, data: 0.003) , G_GAN: 0.826, G_L1: 2.315, D_real: 0.634, D_fake: 0.634

[Rank 0] (epoch: 7, iters: 600, time: 0.039, data: 0.003) , G_GAN: 0.783, G_L1: 2.023, D_real: 0.613, D_fake: 0.680

[Rank 0] (epoch: 7, iters: 700, time: 0.039, data: 0.003) , G_GAN: 0.661, G_L1: 2.233, D_real: 0.814, D_fake: 0.530

[Rank 0] (epoch: 7, iters: 800, time: 0.040, data: 0.002) , G_GAN: 0.829, G_L1: 2.204, D_real: 0.576, D_fake: 0.761

[Rank 0] (epoch: 7, iters: 900, time: 0.039, data: 0.003) , G_GAN: 0.684, G_L1: 2.594, D_real: 0.749, D_fake: 0.517

[Rank 0] (epoch: 7, iters: 1000, time: 0.040, data: 0.003) , G_GAN: 0.858, G_L1: 2.252, D_real: 0.375, D_fake: 1.167

[Rank 0] (epoch: 7, iters: 1100, time: 0.040, data: 0.003) , G_GAN: 0.794, G_L1: 2.664, D_real: 0.613, D_fake: 0.679

[Rank 0] (epoch: 7, iters: 1200, time: 0.039, data: 0.003) , G_GAN: 0.937, G_L1: 3.353, D_real: 0.515, D_fake: 0.583

[Rank 0] (epoch: 7, iters: 1300, time: 0.039, data: 0.003) , G_GAN: 0.656, G_L1: 2.570, D_real: 0.859, D_fake: 0.571

[Rank 0] (epoch: 7, iters: 1400, time: 0.039, data: 0.003) , G_GAN: 0.656, G_L1: 2.692, D_real: 0.989, D_fake: 0.503

[Rank 0] (epoch: 7, iters: 1500, time: 0.040, data: 0.002) , G_GAN: 0.698, G_L1: 2.427, D_real: 0.455, D_fake: 1.050

[Rank 0] (epoch: 7, iters: 1600, time: 0.056, data: 0.002) , G_GAN: 0.914, G_L1: 2.545, D_real: 0.602, D_fake: 0.620

[Rank 0] (epoch: 7, iters: 1700, time: 0.039, data: 0.003) , G_GAN: 0.869, G_L1: 2.012, D_real: 0.541, D_fake: 0.814

[Rank 0] (epoch: 7, iters: 1800, time: 0.039, data: 0.003) , G_GAN: 0.914, G_L1: 2.551, D_real: 0.638, D_fake: 0.694

[Rank 0] (epoch: 7, iters: 1900, time: 0.040, data: 0.003) , G_GAN: 0.732, G_L1: 2.467, D_real: 0.966, D_fake: 0.435

[Rank 0] (epoch: 7, iters: 2000, time: 0.040, data: 0.002) , G_GAN: 0.773, G_L1: 2.720, D_real: 0.557, D_fake: 0.752

[Rank 0] (epoch: 7, iters: 2100, time: 0.039, data: 0.003) , G_GAN: 0.772, G_L1: 2.791, D_real: 0.579, D_fake: 0.719

[Rank 0] (epoch: 7, iters: 2200, time: 0.040, data: 0.003) , G_GAN: 0.788, G_L1: 2.513, D_real: 0.712, D_fake: 0.585

[Rank 0] (epoch: 7, iters: 2300, time: 0.040, data: 0.003) , G_GAN: 0.943, G_L1: 2.953, D_real: 0.585, D_fake: 0.672

[Rank 0] (epoch: 7, iters: 2400, time: 0.040, data: 0.003) , G_GAN: 0.995, G_L1: 2.262, D_real: 0.661, D_fake: 0.573

[Rank 0] (epoch: 8, iters: 100, time: 0.040, data: 0.132) , G_GAN: 0.949, G_L1: 2.207, D_real: 0.501, D_fake: 0.813

[Rank 0] (epoch: 8, iters: 200, time: 0.039, data: 0.003) , G_GAN: 0.741, G_L1: 2.564, D_real: 0.749, D_fake: 0.612

[Rank 0] (epoch: 8, iters: 300, time: 0.040, data: 0.003) , G_GAN: 0.648, G_L1: 2.918, D_real: 0.706, D_fake: 0.626

[Rank 0] (epoch: 8, iters: 400, time: 0.055, data: 0.003) , G_GAN: 0.737, G_L1: 2.465, D_real: 0.751, D_fake: 0.633

[Rank 0] (epoch: 8, iters: 500, time: 0.039, data: 0.002) , G_GAN: 0.731, G_L1: 1.907, D_real: 1.099, D_fake: 0.416

[Rank 0] (epoch: 8, iters: 600, time: 0.039, data: 0.003) , G_GAN: 0.639, G_L1: 1.941, D_real: 0.884, D_fake: 0.538

[Rank 0] (epoch: 8, iters: 700, time: 0.039, data: 0.003) , G_GAN: 0.710, G_L1: 2.458, D_real: 0.508, D_fake: 0.872

[Rank 0] (epoch: 8, iters: 800, time: 0.040, data: 0.003) , G_GAN: 0.845, G_L1: 2.478, D_real: 0.463, D_fake: 0.848

[Rank 0] (epoch: 8, iters: 900, time: 0.040, data: 0.003) , G_GAN: 0.635, G_L1: 2.361, D_real: 0.792, D_fake: 0.615

[Rank 0] (epoch: 8, iters: 1000, time: 0.040, data: 0.003) , G_GAN: 0.792, G_L1: 2.743, D_real: 0.572, D_fake: 0.783

